133.0428.484; ist nicht vorhanden
133.0195.767; ist nicht vorhanden
110.0029.848; ist nicht vorhanden
133.0429.039; ist nicht vorhanden
110.0029.859; ist nicht vorhanden
133.0429.040; ist nicht vorhanden
133.0007.883; ist nicht vorhanden
133.0432.556; ist nicht vorhanden
133.0195.979; ist nicht vorhanden
115.0043.793; ist nicht vorhanden
133.0432.705; ist nicht vorhanden
133.0195.980; ist nicht vorhanden
133.0007.889; ist nicht vorhanden
133.0432.706; ist nicht vorhanden
133.0007.899; ist nicht vorhanden
133.0196.343; ist nicht vorhanden
110.0038.845; ist nicht vorhanden
133.0007.900; ist nicht vorhanden
133.0196.540; ist nicht vorhanden
110.0038.846; ist nicht vorhanden
133.0008.172; ist nicht vorhanden
133.0196.657; ist nicht vorhanden
133.0432.708; ist nicht vorhanden
115.0043.799; ist nicht vorhanden
133.0008.202; ist nicht vorhanden
110.0038.849; ist nicht vorhanden
133.0197.230; ist nicht vorhanden
133.0432.709; ist nicht vorhanden
133.0432.710; ist nicht vorhanden
133.0008.211; ist nicht vorhanden
115.0043.859; ist nicht vorhanden
133.0432.711; ist nicht vorhanden
115.0043.861; ist nicht vorhanden
133.0432.712; ist nicht vorhanden
133.0197.694; ist nicht vorhanden
133.0432.714; ist nicht vorhanden
133.0008.218; ist nicht vorhanden
115.0043.865; ist nicht vorhanden
110.0041.419; ist nicht vorhanden
133.0432.717; ist nicht vorhanden
115.0043.866; ist nicht vorhanden
133.0008.293; ist nicht vorhanden
133.0432.718; ist nicht vorhanden
133.0197.717; ist nicht vorhanden
115.0044.860; ist nicht vorhanden
133.0432.720; ist nicht vorhanden
133.0008.412; ist nicht vorhanden
110.0048.933; ist nicht vorhanden
133.0432.723; ist nicht vorhanden
115.0046.574; ist nicht vorhanden
133.0197.946; ist nicht vorhanden
133.0432.725; ist nicht vorhanden
133.0014.198; ist nicht vorhanden
133.0198.209; ist nicht vorhanden
133.0432.727; ist nicht vorhanden
133.0014.246; ist nicht vorhanden
115.0046.578; ist nicht vorhanden
110.0048.943; ist nicht vorhanden
133.0014.264; ist nicht vorhanden
133.0198.222; ist nicht vorhanden
133.0432.730; ist nicht vorhanden
133.0014.278; ist nicht vorhanden
133.0014.281; ist nicht vorhanden
133.0432.731; ist nicht vorhanden
133.0198.225; ist nicht vorhanden
133.0432.732; ist nicht vorhanden
133.0014.289; ist nicht vorhanden
133.0432.733; ist nicht vorhanden
115.0050.151; ist nicht vorhanden
133.0014.321; ist nicht vorhanden
133.0198.227; ist nicht vorhanden
